algo,param,test rmse(X avec Area),train rmse(X avec ARea),test rmse(X reduced),train rmse(X reduced)
"Elastic Net + gridsearch","{'lasso__alpha': 0.01}",0.8318726179259718,0.7299964334572073,0.18260273161473528,0.17960118654551868
" RF ",{n_estimators=100},0.18861649455906804,0.14548036280703325,0.20588073489082703,0.148387172548801
"XGBoost + gridsearch","{'gamma': 0.01, 'learning rate': 0.01, 'max_depth': 2, 'n_estimators': 2000}",0.3578397675955044,0.14845664298462088,0.11604975144817248,0.05746123029892363
"SVR + gridsearch","{kernel='rbf', C=100, gamma='auto',coef0=1,verbose=2,max_iter=1000000}",0.6300528409308522,0.09259995123820144,0.20486607694643125,0.07886049119214444
"SGDRegressor + gridsearch",{loss="squared_epsilon_insensitive",learning_rate='adaptive',eta0=0.1,max_iter=100000, tol=1e-6,verbose=2,penalty='l2'},0.8274591481180542,0.7297897359999991,0.1752838228376917,0.17189321105968758
"NN",,,,,
