,Zone,Année,Qte pesticide(kg/ha),Rendement(hg/ha),Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O,rainfall,Temperature
127,France,2016,3.72,488625,113.28,21.17,20.33,71.06562222222223,13.032921111111113
128,Ghana,1991,0.02,182937,1.62,0.05,0.19,125.72845222222219,27.49971111111111
129,Ghana,1992,0.02,190722,1.62,0.46,0.25,88.57355888888887,27.21353333333333
130,Ghana,1993,0.02,189198,1.18,0.31,0.23,102.00828555555556,27.344955555555554
131,Ghana,1994,0.01,192384,0.6,0.44,0.67,98.99690111111113,27.45342222222223
132,Ghana,1995,0.01,209646,0.68,0.53,0.85,111.21290666666668,27.596455555555554
133,Ghana,1996,0.32,214680,1.47,0.71,1.37,116.63999666666668,27.5808
134,Ghana,1997,0.09000000000000001,217305,1.64,1.12,1.26,109.77951111111109,27.421511111111123
135,Ghana,1998,0.05000000000000001,210231,1.28,0.64,0.75,90.20995555555555,28.1519
136,Ghana,1999,0.02,209376,1.37,0.72,0.55,119.19741111111112,27.5234
137,Ghana,2000,0.01,210636,1.16,0.45,0.35,104.04239111111113,27.61614444444444
138,Ghana,2001,0.01,210567,2.28,1.38,1.33,102.26848444444445,27.613122222222227
139,Ghana,2002,0.01,239556,0.68,0.02,1.77,110.94584222222224,27.85273333333333
140,Ghana,2003,0.02,268122,1.31,0.43,2.64,112.22472222222223,27.828688888888887
141,Ghana,2004,0.02,349188,0.84,0.53,6.4,103.47365555555557,27.59206666666667
142,Ghana,2005,0.03,418056,1.63,0.93,0.97,101.28489222222224,27.962988888888887
143,Ghana,2006,0.11,432954,4.31,2.17,5.55,101.49342333333333,27.97975555555556
144,Ghana,2007,0.02,637281,3.65,1.88,5.23,119.84546666666664,27.84783333333333
145,Ghana,2008,0.05000000000000001,798171,2.52,1.36,5.09,126.49905000000004,27.43798888888889
146,Ghana,2009,0.05000000000000001,803634,2.9,4.59,4.47,118.16065333333331,27.928655555555547
147,Ghana,2010,0.05000000000000001,818640,3.39,3.39,5.02,113.00843333333334,28.371588888888887
148,Ghana,2011,0.05000000000000001,833247,1.45,2.41,4.56,102.67813666666667,27.976388888888888
149,Ghana,2012,0.05000000000000001,856596,5.72,9.49,6.87,109.25016666666664,27.57557777777778
150,Ghana,2013,0.05000000000000001,880500,6.13,5.28,4.64,94.88316666666668,27.863788888888887
151,Ghana,2014,0.05000000000000001,900525,5.16,2.11,2.7,111.82656666666666,27.967088888888888
152,Ghana,2015,0.05000000000000001,901464,5.8,4.95,4.34,88.66246,28.171122222222227
153,Ghana,2016,0.05000000000000001,889257,5.8,3.59,4.22,114.16633111111112,28.253022222222217
154,Guatemala,1991,6.72,509970,55.01,15.13,10.08,185.60171111111111,24.113944444444442
155,Guatemala,1992,6.72,535356,56.02,20.11,12.32,206.28542222222225,23.769088888888888
156,Guatemala,1993,6.39,654051,56.91,18.62,15.96,247.66572222222226,23.7101
157,Guatemala,1994,6.28,613908,58.64,19.37,10.47,188.71717777777775,24.06343333333333
158,Guatemala,1995,6.28,667050,60.21,20.42,16.75,278.63642222222217,23.904444444444447
159,Guatemala,1996,6.28,668463,57.59,19.37,18.85,222.21252222222225,23.552077777777786
160,Guatemala,1997,5.95,658575,61.69,25.47,21.88,201.82897777777774,24.240822222222228
161,Guatemala,1998,5.62,634905,52.33,22.95,14.15,205.8247555555556,24.34141111111111
162,Guatemala,1999,5.3,632937,63.92,18.66,18.71,242.72553333333335,23.70212222222223
163,Guatemala,2000,4.93,624846,63.36,23.46,20.87,225.3413,23.815944444444447
164,Guatemala,2001,5.04,495468,57.64,26.72,18.35,216.0527888888889,24.265244444444445
165,Guatemala,2002,5.13,469626,41.56,22.81,5.86,210.8139888888889,24.358844444444447
166,Guatemala,2003,4.19,460569,46.05,18.23,5.01,172.42462222222218,24.626188888888887
167,Guatemala,2004,5.2,461532,61.02,22.97,2.93,205.6697888888889,24.421344444444447
168,Guatemala,2005,6.03,462093,58.65,26.93,2.94,247.8205388888889,24.584611111111112
169,Guatemala,2006,6.77,400743,61.85,21.54,3.57,251.87566666666663,24.305022222222217
170,Guatemala,2007,9.13,378264,53.08,22.0,2.72,220.70414444444447,24.356055555555557
171,Guatemala,2008,7.98,353454,38.94,11.06,3.75,246.66549999999995,24.4388
172,Guatemala,2009,6.010000000000002,360462,54.53,13.02,4.91,184.77241111111115,24.514922222222218
173,Guatemala,2010,6.88,368337,65.62,30.28,8.55,318.9169,24.384222222222217
174,Guatemala,2011,7.760000000000002,375711,84.68,24.28,9.52,260.1869888888889,24.5966
175,Guatemala,2012,9.45,401862,88.91,31.61,16.06,209.73945555555557,24.555166666666665
176,Guatemala,2013,10.06,397437,89.37,29.01,21.84,287.1236555555556,24.40713333333333
177,Guatemala,2014,10.27,427428,81.38,36.05,22.05,220.9048555555556,24.503311111111113
178,Guatemala,2015,10.02,443688,88.82,26.45,28.92,170.44216666666662,24.72283333333333
179,Guatemala,2016,10.02,463839,81.8,19.28,26.7,220.394,24.915288888888888
180,Guyana,1991,0.58,193266,25.79,3.17,1.98,217.17638888888888,25.60157777777778
181,Guyana,1992,0.58,216000,20.83,1.79,1.59,159.16605555555554,25.18826666666667
182,Guyana,1993,0.58,207273,19.84,1.98,1.98,220.92424444444447,25.18406666666667
183,Guyana,1994,0.58,189984,16.07,1.98,3.97,216.86955555555562,25.392877777777773
184,Guyana,1995,0.58,190614,23.81,1.98,3.97,200.96743333333336,26.161744444444448
185,Guyana,1996,0.58,174675,21.63,2.78,1.98,255.76914444444446,25.713444444444452
186,Guyana,1997,0.58,152691,27.73,1.39,1.98,220.6735,25.70178888888889
187,Guyana,1998,0.58,150351,27.38,1.79,0.4,210.56007777777782,26.604844444444453
188,Guyana,1999,0.57,152916,30.75,5.55,1.19,244.4873333333333,25.64733333333333
189,Guyana,2000,0.61,166536,22.46,2.61,1.26,298.6148888888889,25.703055555555554
190,Guyana,2001,0.61,148338,23.43,2.51,1.26,156.76531111111117,25.903066666666664
191,Guyana,2002,0.61,159411,28.47,2.67,0.03,223.25136666666668,25.67773333333333
192,Guyana,2003,0.61,155889,20.12,1.51,0.07,196.75237777777772,26.221144444444448
193,Guyana,2004,0.61,162705,39.99,1.15,1.06,228.63757777777784,25.856922222222227
194,Guyana,2005,0.6,162717,13.79,3.57,3.35,254.27288888888884,26.205822222222217
195,Guyana,2006,0.77,172074,18.53,3.4,8.62,264.20647777777776,26.065777777777768
196,Guyana,2007,0.55,146961,14.21,16.38,0.03,261.3660444444444,25.96583333333334
197,Guyana,2008,0.3466666666666667,113592,40.76,12.48,0.0,254.53533333333337,25.747022222222217
198,Guyana,2009,0.59,174312,14.96,3.88,0.14,194.96785555555556,26.115777777777772
199,Guyana,2010,0.47,180858,31.55,4.53,0.78,239.58164444444438,26.453011111111113
200,Guyana,2011,0.9,138741,14.23,11.28,0.59,251.9983,25.963177777777766
201,Guyana,2012,0.96,88665,25.25,13.69,1.88,224.7479111111111,25.65626666666667
202,Guyana,2013,0.8000000000000002,114213,36.88,11.1,9.48,220.81846666666667,25.842633333333332
203,Guyana,2014,0.8000000000000002,155640,31.74,12.72,5.14,126.29918888888885,26.173444444444453
204,Guyana,2015,0.7799999999999999,297861,37.44,12.31,1.48,189.17775555555562,26.318
205,Guyana,2016,0.7600000000000001,168057,23.65,13.9,2.31,193.15854444444446,26.271100000000004
206,Honduras,1991,1.83,329307,10.86,4.35,4.12,132.42734444444446,24.16067777777777
207,Honduras,1992,3.22,303168,11.28,6.21,4.43,139.65901111111108,24.080055555555553
208,Honduras,1993,3.36,351930,16.38,6.45,4.47,201.4765111111111,23.880744444444453
209,Honduras,1994,2.74,347409,6.03,6.53,2.26,125.66797777777779,24.19083333333333
210,Honduras,1995,4.0,336786,37.08,4.26,4.26,184.5203777777777,24.113766666666667
211,Honduras,1996,3.31,332553,25.54,9.85,6.97,159.21021111111108,23.66818888888889
212,Honduras,1997,3.72,329274,44.23,12.91,19.52,134.82544444444446,24.32473333333333
213,Honduras,1998,1.86,305382,50.08,12.27,12.27,133.21418555555556,24.497366666666665
214,Honduras,1999,1.31,267228,59.93,16.58,13.14,165.61572222222222,23.75753333333333
215,Honduras,2000,3.07,274644,95.23,15.14,16.12,152.60412555555556,23.78836666666667
216,Honduras,2001,0.8000000000000002,307149,77.03,12.61,16.46,147.88475444444444,24.254166666666666
217,Honduras,2002,1.24,401565,22.79,0.77,0.35,136.90233333333333,24.42051111111111
218,Honduras,2003,1.67,401196,35.93,4.39,0.45,133.84824444444448,24.596044444444445
219,Honduras,2004,2.11,398343,49.06,4.35,45.0,173.2924,24.338555555555555
220,Honduras,2005,2.53,394515,51.99,10.16,54.33,159.49015555555556,24.47733333333333
221,Honduras,2006,2.94,395703,61.28,11.31,63.22,200.77113333333332,24.27816666666667
222,Honduras,2007,3.62,414666,57.12,10.83,60.06,157.17764444444444,24.281644444444453
223,Honduras,2008,3.59,415800,31.27,23.15,22.38,172.76637777777782,24.505722222222218
224,Honduras,2009,3.02,429315,35.4,8.05,0.76,135.12937444444444,24.5446
225,Honduras,2010,3.82,450378,33.56,6.36,4.09,194.33566222222225,24.57443333333333
226,Honduras,2011,4.13,429522,54.49,9.52,5.36,160.20244444444444,24.54426666666667
227,Honduras,2012,4.61,409062,48.36,11.73,10.34,157.05831111111112,24.3462
228,Honduras,2013,4.61,402864,57.9,30.43,27.0,198.4609333333333,24.259788888888888
229,Honduras,2014,4.61,790167,47.46,16.21,27.72,127.36815555555556,24.449766666666665
230,Honduras,2015,4.61,813975,48.31,21.25,16.53,127.98007777777778,24.603577777777772
231,Honduras,2016,4.61,833640,61.59,22.21,23.51,136.26413333333332,24.81805555555556
232,Iraq,1991,0.08,111550,16.87,7.05,0.0,15.667744444444445,23.339175555555553
233,Iraq,1992,0.08,110444,23.42,14.41,0.0,15.786356666666668,21.761392222222227
234,Iraq,1993,0.12,160368,38.5,18.91,1.87,18.93070111111111,22.940242222222217
235,Iraq,1994,0.13,226809,44.49,26.36,0.93,14.116325555555555,24.244211111111113
236,Iraq,1995,0.16,300591,44.12,21.25,0.1,12.196963333333333,23.920844444444448
237,Iraq,1996,0.12,306744,47.16,20.37,1.96,19.95688,24.18972
238,Iraq,1997,0.18000000000000002,310398,52.08,23.95,0.54,13.854446666666664,22.936320000000002
239,Iraq,1998,0.1,203572,51.27,26.96,0.0,15.601228888888887,24.124964444444448
240,Iraq,1999,0.11,301548,53.62,27.94,0.15,11.600412222222221,24.69567777777777
241,Iraq,2000,0.13,293613,58.26,27.26,0.81,9.74443,24.25243
242,Iraq,2001,0.19000000000000006,375360,111.8,30.24,0.31,12.036786666666664,24.558122222222227
243,Iraq,2002,0.18000000000000002,384000,104.79,26.18,0.14,14.392023333333334,23.8908
244,Iraq,2003,0.18000000000000002,244728,9.64,14.67,0.15,14.547535555555555,23.92193333333333
245,Iraq,2004,0.18000000000000002,122841,21.9,1.48,0.32,14.965944444444444,24.058755555555553
246,Iraq,2005,0.16,107574,28.55,11.6,0.45,13.221947777777775,23.754655555555555
247,Iraq,2006,0.17,106266,33.47,11.02,0.28,16.809907777777774,24.55821555555556
248,Iraq,2007,0.21,96789,24.6,11.58,0.27,13.961007777777775,23.878293333333332
249,Iraq,2008,0.23,91785,39.17,15.19,0.24,6.9636611111111115,24.204567777777783
250,Iraq,2009,0.22,96588,44.64,12.04,0.39,9.169042222222224,23.79069444444444
251,Iraq,2010,0.18000000000000002,88023,25.59,5.78,1.14,12.744145555555555,25.58436666666667
252,Iraq,2011,0.14,65550,30.4,5.36,1.19,13.907216666666665,24.02964222222223
253,Iraq,2012,0.12,62997,34.73,11.36,0.61,9.997144444444443,24.05628333333333
254,Iraq,2013,0.09000000000000001,62682,32.86,13.81,0.83,12.996605555555556,24.15873333333333
255,Iraq,2014,0.08,61605,15.22,2.55,0.82,10.388428888888887,24.67152333333333
256,Iraq,2015,0.04,60459,12.05,2.21,0.48,7.964540000000001,24.932688888888887
257,Iraq,2016,0.03,58476,19.9,7.18,0.34,16.630401111111112,24.98778888888889
258,Kazakhstan,2000,0.10000000000000002,300000,0.99,0.16,0.07,21.51757777777777,10.020411111111107
259,Kazakhstan,2001,0.10000000000000002,300000,1.42,0.19,0.1,21.318622222222224,9.716121111111109
260,Kazakhstan,2002,0.12,266940,0.45,0.38,0.01,26.168924444444446,10.707633333333332
261,Kazakhstan,2003,0.13,253614,0.69,0.5,0.0,25.05514444444445,8.546161111111111
262,Kazakhstan,2004,0.13,243492,0.87,0.49,0.12,20.901333333333334,10.149787777777778
263,Kazakhstan,2005,0.13,150000,0.71,0.59,0.12,20.896512222222224,9.414751111111112
264,Kazakhstan,2006,0.14,266796,0.97,0.47,0.01,19.542126666666665,9.376755555555556
265,Kazakhstan,2007,0.19000000000000006,300000,1.3,0.71,0.03,22.43888888888889,10.3699
266,Kazakhstan,2008,0.25,347733,0.57,0.5,0.01,18.521066666666666,9.547392222222221
267,Kazakhstan,2009,0.3,450000,1.03,0.91,0.03,23.94961111111111,9.057363333333337
268,Kazakhstan,2010,0.22,300000,1.41,0.51,0.11,19.569726666666668,9.098038888888887
269,Kazakhstan,2011,0.36000000000000004,300000,1.62,1.21,0.15,22.146844444444447,8.848722222222221
270,Kazakhstan,2012,0.29,450000,3.57,0.71,0.12,18.505814444444443,9.434011111111113
271,Kazakhstan,2013,0.3,420000,1.89,0.87,0.12,27.23924444444444,10.116908888888887
272,Kazakhstan,2014,0.3800000000000001,480000,2.72,1.09,0.12,19.2939,8.882255555555554
273,Kazakhstan,2015,0.36000000000000004,474483,3.08,1.11,0.08,22.926111111111112,10.012294444444443
274,Kazakhstan,2016,0.36000000000000004,469203,3.42,3.28,0.57,28.364722222222227,11.092711111111115
275,Kenya,1991,0.62,185853,9.4,9.7,1.11,49.02251111111111,24.62634444444444
276,Kenya,1992,0.6,198606,8.28,7.93,1.44,40.14144444444445,24.634788888888888
277,Kenya,1993,0.63,251466,7.6,9.4,1.05,49.95236666666667,24.454822222222226
278,Kenya,1994,0.58,272496,8.56,11.97,1.35,43.974974444444435,24.542244444444442
279,Kenya,1995,0.7799999999999999,281685,5.58,6.76,0.91,49.77973333333334,24.817077777777783
280,Kenya,1996,1.23,261909,12.23,14.72,4.27,46.48753333333334,24.814655555555557
281,Kenya,1997,0.98,268860,9.63,13.11,2.64,46.63326666666667,24.814177777777783
282,Kenya,1998,0.8000000000000002,248829,10.28,11.07,3.3,67.71381111111111,24.906
283,Kenya,1999,0.55,269895,9.72,15.23,1.61,42.58816777777777,25.00608888888889
284,Kenya,2000,0.37,266004,13.02,13.26,0.85,32.04500666666667,24.868255555555557
285,Kenya,2001,0.28,265185,14.45,11.23,1.41,47.17307333333334,25.021655555555554
286,Kenya,2002,0.29,237420,11.37,13.68,0.16,55.51603333333333,25.434833333333334
287,Kenya,2003,0.28,213579,12.21,16.21,2.13,53.10245,25.430444444444447
288,Kenya,2004,0.28,217119,11.37,12.33,1.87,39.803066666666666,25.42278888888889
289,Kenya,2005,0.28,239109,12.72,16.34,2.64,33.94655555555555,25.34014444444445
290,Kenya,2006,0.27,256071,13.5,14.81,2.28,54.21736666666666,25.248122222222218
291,Kenya,2007,0.27,294939,13.77,17.18,2.48,55.68036666666667,25.01596666666667
292,Kenya,2008,0.27,294570,12.63,16.88,0.98,48.23866666666667,24.99403333333333
293,Kenya,2009,0.26,295260,11.26,15.57,2.45,37.436488888888896,25.5072
294,Kenya,2010,0.26,319740,11.76,12.6,3.37,53.63015555555555,25.36723333333333
295,Kenya,2011,0.25,265176,17.69,17.03,5.21,42.98153333333333,25.44325555555555
296,Kenya,2012,0.25,250245,14.24,14.26,3.06,48.03556666666666,25.237477777777773
297,Kenya,2013,0.25,299358,20.36,12.16,3.01,64.02496666666667,25.08673333333333
298,Kenya,2014,0.25,309897,36.17,1.9,1.19,44.227455555555565,25.40375555555556
299,Kenya,2015,0.25,296886,20.98,3.16,2.02,53.41895555555556,25.328111111111113
300,Kenya,2016,0.25,265884,15.73,9.68,1.19,50.32652222222222,25.7487
301,Madagascar,1991,0.04,206277,1.12,0.7,1.01,111.82583333333336,22.055444444444447
