,Zone,Année,rainfall,Temperature
0,Afghanistan,1991,42.236691111111114,14.478165555555556
1,Afghanistan,1992,37.21077888888888,13.893306666666668
2,Afghanistan,1993,29.68903333333333,14.773843333333335
3,Afghanistan,1994,30.157219999999995,14.71550111111111
4,Afghanistan,1995,27.26077444444445,14.812504444444444
5,Afghanistan,1996,32.208937777777784,14.5975
6,Afghanistan,1997,28.612785555555554,14.691532222222225
7,Afghanistan,1998,38.214061111111114,14.955888888888891
8,Afghanistan,1999,27.47205888888889,15.767012222222224
9,Afghanistan,2000,15.69318666666667,15.649665555555556
10,Afghanistan,2001,14.97838444444445,15.665746666666665
11,Afghanistan,2002,23.938696666666665,15.66128
12,Afghanistan,2003,30.465765555555556,15.159368888888887
13,Afghanistan,2004,20.89520777777778,16.11336
14,Afghanistan,2005,36.304126666666654,15.014904444444443
15,Afghanistan,2006,23.11972222222223,16.036467777777773
16,Afghanistan,2007,28.95648222222223,15.525302222222221
17,Afghanistan,2008,23.206755555555556,15.50750333333333
18,Afghanistan,2009,33.95792,15.69395888888889
19,Afghanistan,2010,28.174967777777773,15.966647777777775
20,Afghanistan,2011,28.223118888888887,15.871329999999999
21,Afghanistan,2012,32.52687111111112,14.75889
22,Afghanistan,2013,31.11322444444444,15.847106666666667
23,Afghanistan,2014,28.150470000000002,15.59796
24,Afghanistan,2015,35.85273888888889,15.684066666666665
25,Afghanistan,2016,30.34364111111111,16.604490000000002
26,Albania,1991,71.04026666666667,12.286311111111115
27,Albania,1992,55.524955555555565,12.565883333333336
28,Albania,1993,52.16906333333333,12.598886666666665
29,Albania,1994,76.31695555555557,14.048914444444444
30,Albania,1995,84.42354444444443,12.607118888888886
31,Albania,1996,84.75521111111111,12.24872111111111
32,Albania,1997,46.18013333333334,12.621883333333333
33,Albania,1998,61.57412222222222,13.526038888888886
34,Albania,1999,73.83124444444444,13.435901111111114
35,Albania,2000,42.241703333333334,13.517320000000002
36,Albania,2001,63.84373333333334,13.909277777777776
37,Albania,2002,75.47618888888887,13.57709888888889
38,Albania,2003,64.08795555555554,13.364885555555556
39,Albania,2004,78.5612888888889,12.786163333333333
40,Albania,2005,72.52857777777778,12.661775555555556
41,Albania,2006,86.90823333333334,12.971407777777774
42,Albania,2007,64.90346777777776,14.311943333333335
43,Albania,2008,68.82139000000001,13.815241111111114
44,Albania,2009,89.04914444444445,13.683456666666665
45,Albania,2010,84.81804444444441,13.58129
46,Albania,2011,53.32873333333333,13.746673333333336
47,Albania,2012,66.98229111111111,13.800674444444445
48,Albania,2013,78.78406666666667,14.019723333333335
49,Albania,2014,96.33261111111112,13.893296666666664
50,Albania,2015,77.18502,13.999357777777776
51,Albania,2016,96.4154,14.3749
52,Algeria,1991,7.042874444444447,24.126222222222218
53,Algeria,1992,7.330023333333332,23.92273333333333
54,Algeria,1993,4.636281111111113,24.30894444444445
55,Algeria,1994,6.5422633333333335,24.840122222222227
56,Algeria,1995,5.372982222222222,24.710022222222214
57,Algeria,1996,9.902897777777778,24.663044444444445
58,Algeria,1997,6.515575555555556,24.94002222222223
59,Algeria,1998,5.245528888888889,25.1736
60,Algeria,1999,6.118614444444443,25.050422222222217
61,Algeria,2000,3.4276400000000007,25.054822222222228
62,Algeria,2001,4.313406666666667,25.337522222222226
63,Algeria,2002,4.257906666666667,24.88863333333333
64,Algeria,2003,8.179183333333334,25.27928888888889
65,Algeria,2004,6.877682222222222,24.87036666666667
66,Algeria,2005,4.7959122222222215,24.94563333333333
67,Algeria,2006,7.6786788888888875,25.201888888888888
68,Algeria,2007,6.7218011111111124,25.1097
69,Algeria,2008,5.051074444444444,25.08544444444444
70,Algeria,2009,8.577225555555554,25.13701111111111
71,Algeria,2010,7.454139999999999,25.692222222222227
72,Algeria,2011,7.557758888888888,25.35051111111111
73,Algeria,2012,6.410607777777778,25.015611111111113
74,Algeria,2013,6.636804444444443,24.876800000000006
75,Algeria,2014,5.2825244444444435,25.39036666666667
76,Algeria,2015,7.065136666666668,25.19986666666667
77,Algeria,2016,4.708374444444447,25.57121111111111
78,Andorra,1991,59.57633333333335,12.444313333333335
79,Andorra,1992,83.56024444444444,12.168309999999998
80,Andorra,1993,75.07863333333334,12.180123333333334
81,Andorra,1994,58.79796666666667,13.136691111111114
82,Andorra,1995,49.31668888888888,12.867565555555556
83,Andorra,1996,79.63374444444446,12.487316666666665
84,Andorra,1997,63.85989888888889,13.57633111111111
85,Andorra,1998,49.45483333333334,13.224463333333334
86,Andorra,1999,63.94828888888888,13.335031111111109
87,Andorra,2000,55.3712,13.149625555555556
88,Andorra,2001,56.9469888888889,13.276644444444445
89,Andorra,2002,76.0731111111111,12.930197777777776
90,Andorra,2003,57.17385555555556,13.65317222222222
91,Andorra,2004,69.55451111111111,12.871406666666667
92,Andorra,2005,46.3387,12.669182222222224
93,Andorra,2006,53.380288888888884,13.295582222222222
94,Andorra,2007,57.670722222222224,13.231866666666667
95,Andorra,2008,60.703,13.086978888888892
96,Andorra,2009,57.726977777777776,13.258063333333332
97,Andorra,2010,64.11822222222223,12.392417777777775
